ip,domain,archive,comms
62.22.61.212,nuestrasfinanzas.com,https://web.archive.org/web/20110128201657/http://nuestrasfinanzas.com/,https://web.archive.org/web/20110128201702/http://nuestrasfinanzas.com/ads.jar
62.22.61.217,court-masters.com,https://web.archive.org/web/20110128080659/http://court-masters.com/,https://web.archive.org/web/20110129003221*/http://court-masters.com/rumors.jar
62.22.61.219,allworldstatistics.com,https://web.archive.org/web/20110207151749/http://allworldstatistics.com/,https://web.archive.org/web/20110207151920/http://allworldstatistics.com/international.js
62.22.61.220,newsjaka.com,https://web.archive.org/web/20110208065006/http://newsjaka.com/,https://web.archive.org/web/20110208065144/http://newsjaka.com/journals.js
64.16.204.55,holein1news.com,https://web.archive.org/web/20101007201100/http://holein1news.com/,https://web.archive.org/web/20110207142541/http://holein1news.com/standings.jar
64.16.204.58,tech-topix.com,https://web.archive.org/web/20130620211952/http://tech-topix.com/,https://web.archive.org/web/20130620211952/https://ssl.tech-topix.com/cgi-bin/tech.cgi
65.61.127.163,capture-nature.com,https://web.archive.org/web/20110201104659/http://capture-nature.com/,https://web.archive.org/web/20110201104851/http://capture-nature.com/Scenes.jar
65.61.127.166,globalnewsbulletin.com,https://web.archive.org/web/20110129013701/http://globalnewsbulletin.com/,https://web.archive.org/web/20110129013701/https://secure.globalnewsbulletin.com/cgi-bin/index.cgi
65.61.127.169,crossovernews.net,https://web.archive.org/web/20111014003640/http://www.crossovernews.net/,https://web.archive.org/web/20111014003646/http://www.crossovernews.net/basketball.jar
65.61.127.174,dedrickonline.com,https://web.archive.org/web/20101211095158/http://www.dedrickonline.com/,https://web.archive.org/web/20130909110245/http://dedrickonline.com/newsflash.js
65.61.127.175,altworldnews.com,https://web.archive.org/web/20130501234310/http://altworldnews.com:80/,https://web.archive.org/web/20130501234310/https://secure.altworldnews.com/cgi-bin/desk.cgi
65.61.127.178,tee-shot.net,https://web.archive.org/web/20110107045521/http://tee-shot.net/,https://web.archive.org/web/20110107045740/http://tee-shot.net/tee-shot.swf
65.61.127.182,pangawana.com,https://web.archive.org/web/20110203201604/http://pangawana.com/,https://web.archive.org/web/20110203201745/http://pangawana.com/communication.js
65.61.127.183,cutabovenews.com,https://web.archive.org/web/20110130195721/http://cutabovenews.com/,https://web.archive.org/web/20110130195813/http://cutabovenews.com/images.js
65.61.127.184,worldwildlifeadventure.com,https://web.archive.org/web/20110210092954/http://worldwildlifeadventure.com/,https://web.archive.org/web/20110210093209/http://worldwildlifeadventure.com/webspeed.jar
65.61.127.186,explorealtmeds.com,https://web.archive.org/web/20130703034015/http://explorealtmeds.com/,https://web.archive.org/web/20130703034015oe_/http://explorealtmeds.com/med.jar
66.45.179.192,thegraceofislam.com,https://web.archive.org/web/20110202163201/http://thegraceofislam.com/,https://web.archive.org/web/20110202163201/https://secure.thegraceofislam.com/cgi-bin/history.cgi
66.45.179.194,raulsonsglobalnews.com,https://web.archive.org/web/20110202135422/http://raulsonsglobalnews.com/,https://web.archive.org/web/20110202135451/http://raulsonsglobalnews.com/Current.jar
66.45.179.199,attivitaestremi.com,https://web.archive.org/web/20110128162039/http://attivitaestremi.com/,https://web.archive.org/web/20110128162039/https://secure.attivitaestremi.com/cgi-bin/windsurfing.cgi
66.45.179.201,hitthepavementnow.com,https://web.archive.org/web/20110208151258/http://hitthepavementnow.com/,https://web.archive.org/web/20110208151258/https://secure.hitthepavementnow.com/cgi-bin/running.cgi
66.45.179.203,noticiascontinental.com,https://web.archive.org/web/20110128170145/http://noticiascontinental.com/,https://web.archive.org/web/20110128170145/https://secure.noticiascontinental.com/cgi-bin/bra.cgi
66.45.179.205,noticiasporjanua.com,https://web.archive.org/web/20110128170452/http://noticiasporjanua.com/,https://web.archive.org/web/20110128170510/http://noticiasporjanua.com/noticias.jar
66.45.179.206,podisticamondiale.com,https://web.archive.org/web/20101009032531/http://podisticamondiale.com/,https://web.archive.org/web/20110208042318/http://podisticamondiale.com/running.jar
66.45.179.207,reflectordenoticias.com,https://web.archive.org/web/20110202151317/http://reflectordenoticias.com/,https://web.archive.org/web/20110202151532/http://reflectordenoticias.com/globe.jar
66.45.179.208,havenofgamerz.com,https://web.archive.org/web/20110207193330/http://havenofgamerz.com/,https://web.archive.org/web/20110207193352/https://secure.havenofgamerz.com/cgi-bin/top.cgi
66.45.179.210,sa-michigan.com,https://web.archive.org/web/20110208053653/http://sa-michigan.com/,https://web.archive.org/web/20110208053935/http://sa-michigan.com/speed.jar
66.45.179.211,absolutebearing.net,https://web.archive.org/web/20101229102258/http://absolutebearing.net/,https://web.archive.org/web/20101229102258/https://aboard.absolutebearing.net/cgi-bin/board.cgi
66.45.179.213,myportaltonews.com,https://web.archive.org/web/20110209072318/http://myportaltonews.com/,https://web.archive.org/web/20110209072349/http://myportaltonews.com/mp2news.js
66.45.179.214,investmentintellect.com,https://web.archive.org/web/20110202083352/http://investmentintellect.com/,https://web.archive.org/web/20110202083452/http://investmentintellect.com/funds.jar
66.45.179.215,nigeriastar.net,https://web.archive.org/web/20110106181451/http://nigeriastar.net/,https://web.archive.org//web/20110106181451oe_/http://nigeriastar.net/star.jar
66.104.169.163,doctorsoncallsite.com,https://web.archive.org/web/20110207142515/http://doctorsoncallsite.com/,https://web.archive.org/web/20110207142832/http://doctorsoncallsite.com/nutrition.jar
66.104.169.164,lightandshadowonline.com,https://web.archive.org/web/20100514072333/http://lightandshadowonline.com/,https://web.archive.org/web/20110202131218/http://lightandshadowonline.com/quotes.jar
66.104.169.168,plugged-into-news.net,https://web.archive.org/web/20101229222144/http://plugged-into-news.net/,https://web.archive.org/web/20131101104829*/http://plugged-into-news.net/weatherbug.zip
66.104.169.171,golf-on-holiday.com,https://web.archive.org/web/20110201200208/http://golf-on-holiday.com/,https://web.archive.org/web/20110201200242/http://golf-on-holiday.com/golf.jar
66.104.169.172,perspectiva-noticias.com,https://web.archive.org/web/20110207221904/http://perspectiva-noticias.com/,https://web.archive.org/web/20110207221952js_/http://perspectiva-noticias.com/musica.js
66.104.169.175,aquaswimming.com,https://web.archive.org/web/20091023041107/http://aquaswimming.com/,https://web.archive.org/web/20110210065153/http://aquaswimming.com/workout.jar
66.104.169.177,dojo-temple.com,https://web.archive.org/web/20110207095057/http://dojo-temple.com/,https://web.archive.org/web/20110207095057/https://disciples.dojo-temple.com/cgi-bin/kama.cgi
66.104.169.179,neighbour-news.com,https://web.archive.org/web/20100109023107/http://www.neighbour-news.com/,https://web.archive.org/web/20100109023107oe_/http://www.neighbour-news.com/bwmeter.jar
66.104.169.180,medicatechinfo.com,https://web.archive.org/web/20100516142339/http://medicatechinfo.com/,https://web.archive.org/web/20100516142353/http://medicatechinfo.com/healthnow.js
66.104.169.181,brickmanfinancialnews.com,https://web.archive.org/web/20110208004818/http://brickmanfinancialnews.com/,https://web.archive.org/web/20110208004900/http://brickmanfinancialnews.com/moneymaker.js
66.104.169.182,casanewsnow.com,https://web.archive.org/web/20110201184819/http://casanewsnow.com/,https://web.archive.org/web/20110201184819oe_/http://casanewsnow.com/casanews.jar
66.104.173.163,runakonews.com,https://web.archive.org/web/20110207154526/http://runakonews.com/,https://web.archive.org/web/20110207154526/https://travel.runakonews.com/cgi-bin/health.cgi
66.104.173.165,entertaining-ly.com,https://web.archive.org/web/20110128210953/http://entertaining-ly.com/,https://web.archive.org/web/20110128211117/http://entertaining-ly.com/bmeter.jar
66.104.173.166,zubeenews.com,https://web.archive.org/web/20110209230242/http://zubeenews.com/,https://web.archive.org/web/20110209230317js_/http://zubeenews.com/library.js
66.104.173.169,smart-financeology.com,https://web.archive.org/web/20110202205120/http://smart-financeology.com/,https://web.archive.org/web/20110202205132/http://smart-financeology.com/clrbar.jar
66.104.173.175,media-coverage-now.com,https://web.archive.org/web/20100516132048/http://media-coverage-now.com/,https://web.archive.org/web/20110128144135/http://media-coverage-now.com/media-coverage-now.swf
66.104.173.176,jbc-online-news.com,https://web.archive.org/web/20110202222044/http://jbc-online-news.com/,https://web.archive.org/web/20110202222044js_/http://jbc-online-news.com/travel.js
66.104.173.177,webscooper.com,https://web.archive.org/web/20110207153241/http://webscooper.com/,https://web.archive.org/web/20110306225148*/http://webscooper.com/World.jar
66.104.173.178,dk-dcinvestment.com,https://web.archive.org/web/20100415220544/http://dk-dcinvestment.com/,https://web.archive.org/web/20110207113033/http://dk-dcinvestment.com/gears.jar
66.104.173.180,stara-turistick.com,https://web.archive.org/web/20110207151935/http://stara-turistick.com/,https://web.archive.org/web/20110207152017/http://stara-turistick.com/svijeta.jar
66.104.173.181,playbackpolitics.com,https://web.archive.org/web/20110207234643/http://playbackpolitics.com/,https://web.archive.org/web/20110207234719/http://playbackpolitics.com/politics.js
66.104.173.182,snapnewsfront.net,https://web.archive.org/web/20110107022935/http://snapnewsfront.net/,https://web.archive.org/web/20110107023058/http://snapnewsfront.net/column.js
66.104.173.183,ingenuitytrendz.com,https://web.archive.org/web/20110201170354/http://ingenuitytrendz.com/,https://web.archive.org/web/20110201170409/http://ingenuitytrendz.com/chemistry.jar
66.104.173.184,armashoy.com,https://web.archive.org/web/20110210112553/http://armashoy.com/,https://web.archive.org/web/20110210114225/http://armashoy.com/armashoy.swf
66.104.173.185,baocontact.com,,https://web.archive.org/web/20110202095555/http://baocontact.com/business.jar
66.104.173.186,myworldlymusic.com,https://web.archive.org/web/20110210153136/http://myworldlymusic.com/,https://web.archive.org/web/20110210153136oe_/http://myworldlymusic.com/WorldMusic.jar
66.104.173.189,hitpoint-gaming.com,https://web.archive.org/web/20110208151030/http://hitpoint-gaming.com/,https://web.archive.org/web/20110208151033/http://hitpoint-gaming.com/hitpoint.js
66.104.175.34,itwebtoday.com,https://web.archive.org/web/20110202141204/http://itwebtoday.com/,https://web.archive.org/web/20110202141215/http://itwebtoday.com/itweb.js
66.104.175.36,adilnews.net,https://web.archive.org/web/20101222095305/http://adilnews.net/,https://web.archive.org/web/20101222095511/http://adilnews.net/adilnews.swf
66.104.175.40,beyondnetworknews.com,https://web.archive.org/web/20110202205659/http://beyondnetworknews.com/,https://web.archive.org/web/20110202205659/https://ssl.beyondnetworknews.com/cgi-bin/local.cgi
66.104.175.41,grubbersworldrugbynews.com,https://web.archive.org/web/20110202191712/http://grubbersworldrugbynews.com/,https://web.archive.org/web/20110202191728/http://grubbersworldrugbynews.com/team.js
66.104.175.44,yourtripfinder.net,https://web.archive.org/web/20101227002235/http://yourtripfinder.net/,
66.104.175.45,rollinsnetwork.com,https://web.archive.org/web/20111129013633/http://rollinsnetwork.com/,https://web.archive.org/web/20111129013633/https://sslrollins.rollinsnetwork.com/cgi-bin/network.cgi
66.104.175.46,infosharenews.com,https://web.archive.org/web/20110201161254/http://infosharenews.com/,https://web.archive.org/web/20110201161313/http://infosharenews.com/livenews.jar
66.104.175.47,southasiaheadlines.com,https://web.archive.org/web/20110208202345/http://southasiaheadlines.com/,https://web.archive.org/web/20110208202345oe_/http://southasiaheadlines.com/news.jar
66.104.175.48,worlddispatch.net,https://web.archive.org/web/20101231111512/http://worlddispatch.net/,https://web.archive.org/web/20101231111653/http://worlddispatch.net/worlddispatch.swf
66.104.175.49,webworldsports.com,https://web.archive.org/web/20110207164105/http://webworldsports.com/,https://web.archive.org/web/20110207164115/http://webworldsports.com/espeed.jar
66.104.175.50,fly-bybirdies.com,https://web.archive.org/web/20110207201748/http://fly-bybirdies.com/,https://web.archive.org/web/20110207201833/http://fly-bybirdies.com/bwMeter.jar
66.104.175.51,businessexchangetoday.com,https://web.archive.org/web/20110128095141/http://businessexchangetoday.com/,https://web.archive.org/web/20130904185542/https://www.businessexchangetoday.com/cgi-bin/business.cgi
66.104.175.52,mensajeradenoticias.com,https://web.archive.org/web/20110128210532/http://mensajeradenoticias.com/,https://web.archive.org/web/20110128210532/https://secure.mensajeradenoticias.com/cgi-bin/noticias.cgi
66.104.175.53,info-ology.net,https://web.archive.org/web/20101225180538/http://info-ology.net/,https://web.archive.org/web/20101225180654/http://info-ology.net/dynamic.jar
66.104.175.54,marketflows.net,https://web.archive.org/web/20110106142526/http://marketflows.net/,https://web.archive.org/web/20110106142544/http://marketflows.net/forecast.jar
66.104.175.57,metanewsdaily.com,https://web.archive.org/web/20100516234310/http://metanewsdaily.com/,https://web.archive.org/web/20100516234310/https://members.metanewsdaily.com/cgi-bin/ABC.cgi
66.175.106.134,paddlescoop.com,https://web.archive.org/web/20110203030231/http://paddlescoop.com/,https://web.archive.org/web/20110203030313/http://paddlescoop.com/scoopmeter.jar
66.175.106.137,kessingerssportsnews.com,https://web.archive.org/web/20100520013854/http://www.kessingerssportsnews.com/,https://web.archive.org/web/20110208111125/http://kessingerssportsnews.com/football.js
66.175.106.138,factorforcenews.com,https://web.archive.org/web/20090622075311/http://factorforcenews.com/,https://web.archive.org/web/20110202125321/http://factorforcenews.com/factorspeed.jar
66.175.106.142,kanata-news.com,https://web.archive.org/web/20100512125752/http://kanata-news.com/,https://web.archive.org/web/20100512125808/http://kanata-news.com/feeds.js
66.175.106.143,thecricketfan.com,https://web.archive.org/web/20110202124357/http://thecricketfan.com/,https://web.archive.org/web/20100512125808/http://kanata-news.com/feeds.js
66.175.106.146,inews-today.com,https://web.archive.org/web/20110125190345/http://inews-today.com/,https://web.archive.org/web/20110201140115/http://inews-today.com/headlines.jar
66.175.106.147,starwarsweb.net,https://web.archive.org/web/20101230033220/http://starwarsweb.net/,https://web.archive.org/web/20101230033642/http://starwarsweb.net/starwarsweb.swf
66.175.106.148,activegaminginfo.com,https://web.archive.org/web/20110208113503/http://activegaminginfo.com/,https://web.archive.org/web/20110202130304/http://activegaminginfo.com/gaming.jar
66.175.106.149,feedsdemexicoyelmundo.com,https://web.archive.org/web/20110202190838/http://feedsdemexicoyelmundo.com/,https://web.archive.org/web/20110202190932/http://feedsdemexicoyelmundo.com/mundo.js
66.175.106.150,noticiasmusica.net,https://web.archive.org/web/20101230165001/http://noticiasmusica.net/,https://web.archive.org/web/20111018000000*/http://noticiasmusica.net/musica.jar
66.175.106.155,atomworldnews.com,https://web.archive.org/web/20110128153629/http://atomworldnews.com/,https://web.archive.org/web/20110128153721/http://atomworldnews.com/world.jar
66.175.106.158,nouvellesetdesrapports.com,https://web.archive.org/web/20110128173433/http://nouvellesetdesrapports.com/,https://web.archive.org/web/20110128173448/http://nouvellesetdesrapports.com/nouvelles.jar
66.237.236.227,newsandmusicminute.com,https://web.archive.org/web/20110208063145/http://newsandmusicminute.com/,https://web.archive.org/web/20110208063319/http://newsandmusicminute.com/sonybmg.js
66.237.236.229,pearls-playlist.com,https://web.archive.org/web/20110207154832/http://pearls-playlist.com/,https://web.archive.org/web/20110207155014/http://pearls-playlist.com/pearls-playlist.swf
66.237.236.230,beyondthefringe.info 2013-01-02,https://web.archive.org/web/20120713013325/http://beyondthefringe.info/,https://web.archive.org/web/20120713013325oe_/http://beyondthefringe.info/bandwidth.jar
66.237.236.231,primetimemovies.net,https://web.archive.org/web/20090830175246/http://www.primetimemovies.net/,https://web.archive.org//web/20090830175246js_/http://www.primetimemovies.net/primetime.js
66.237.236.235,persephneintl.com,https://web.archive.org/web/20130620032026/http://persephneintl.com/,https://web.archive.org//web/20130620032026oe_/http://persephneintl.com/business.jar
66.237.236.236,directoalgrano.net,https://web.archive.org/web/20101222141002/http://directoalgrano.net/,https://web.archive.org/web/20101222141101js_/http://directoalgrano.net/protect.js
66.237.236.240,actualizaciondebeisbol.com,https://web.archive.org/web/20110202133754/http://actualizaciondebeisbol.com/,https://web.archive.org/web/20110202135654/http://actualizaciondebeisbol.com/baseball.js
66.237.236.243,mygadgettech.com,https://web.archive.org/web/20091229181141/http://www.mygadgettech.com/,https://web.archive.org/web/20091229181141/https://secure.mygadgettech.com/cgi-bin/hurry.cgi
66.237.236.247,comunidaddenoticias.com,https://web.archive.org/web/20110207183409/http://comunidaddenoticias.com/,https://web.archive.org/web/20110207183421/http://comunidaddenoticias.com/quito.jar
66.237.236.249,sumerjaseahora.com,https://web.archive.org/web/20110128091410/http://sumerjaseahora.com/,https://web.archive.org/web/20110128091410/https://buceo.sumerjaseahora.com/cgi-bin/oceano.cgi
69.84.156.69,al-ashak-news-me.com,https://web.archive.org/web/20110203003800/http://al-ashak-news-me.com/,https://web.archive.org/web/20110203003835/http://al-ashak-news-me.com/ashak.js
69.84.156.71,worldfinancetoday.net,https://web.archive.org/web/20110107091638/http://worldfinancetoday.net/,https://web.archive.org/web/20131126235054*/http://worldfinancetoday.net/slides.jar
69.84.156.72,autonewsarabia.com,https://web.archive.org/web/20110128213808/http://autonewsarabia.com/,https://web.archive.org/web/20110128213858/http://autonewsarabia.com/vehicle.jar
69.84.156.74,blue-moon-news.com,https://web.archive.org/web/20110208031050/http://blue-moon-news.com/,https://web.archive.org/web/20110208031127js_/http://blue-moon-news.com/video.js
69.84.156.76,tnc-urdu.com,https://web.archive.org/web/20110211230208/http://tnc-urdu.com/,https://web.archive.org/web/20110211230248/http://tnc-urdu.com/bmeterplus.jar
69.84.156.83,unganadormundial.com,https://web.archive.org/web/20101216065827/http://www.unganadormundial.com/,https://web.archive.org/web/20101216065827/https://ssl.unganadormundial.com/cgi-bin/login.cgi
69.84.156.88,diariodeelmundo.com,https://web.archive.org/web/20110202172126/http://diariodeelmundo.com/,https://web.archive.org/web/20110202172130/http://diariodeelmundo.com/latin.jar
69.84.156.89,todaysarabnews.com,https://web.archive.org/web/20110208225630/http://www.todaysarabnews.com/,https://web.archive.org//web/20110208225630oe_/http://www.todaysarabnews.com/news.jar
69.84.156.90,stickshiftnews.com,https://web.archive.org/web/20110207232048/http://stickshiftnews.com/,https://web.archive.org/web/20110207232246/http://stickshiftnews.com/news.jar
69.84.156.91,theinternationalgoal.com,https://web.archive.org/web/20110202183050/http://theinternationalgoal.com/,https://web.archive.org/web/20110202183050/https://secure.theinternationalgoal.com/cgi-bin/history.cgi
74.116.72.229,guide-daventure.com,https://web.archive.org/web/20110203080503/http://guide-daventure.com/,https://web.archive.org/web/20110203080532/http://guide-daventure.com/touristiques.jar
74.116.72.231,bleachersfootballnews.com,https://web.archive.org/web/20110207225452/http://bleachersfootballnews.com/,https://web.archive.org/web/20110207225524/http://bleachersfootballnews.com/football.jar
74.116.72.232,indirectfreekick.com,https://web.archive.org/web/20110201123025/http://indirectfreekick.com/,https://web.archive.org/web/20110201123244/http://indirectfreekick.com/soccer.jar
74.116.72.233,wwiichronicles.net,https://web.archive.org/web/20110107092233/http://wwiichronicles.net/,https://web.archive.org/web/20110107092233/https://alliedforces.wwiichronicles.net/cgi-bin/honor.cgi
74.116.72.234,petroleumagenews.com,https://web.archive.org/web/20110119001925/http://petroleumagenews.com/,https://web.archive.org/web/20110208043653/http://petroleumagenews.com/metered.jar
74.116.72.235,the-open-book-online.com,https://web.archive.org/web/20110202225251/http://the-open-book-online.com/,https://web.archive.org/web/20110202225254js_/http://the-open-book-online.com/breaking.js
74.116.72.236,techtopnews.com,https://web.archive.org/web/20110201215658/http://techtopnews.com/,https://web.archive.org/web/20110201215739/http://techtopnews.com/spam.jar
74.116.72.239,crickettoday.info,https://web.archive.org/web/20130530183606/http://crickettoday.info/,https://web.archive.org/web/20130530183606js_/http://crickettoday.info/cricket.js
74.116.72.240,zafernews.com,https://web.archive.org/web/20110209030855/http://zafernews.com/,https://web.archive.org/web/20110209030931/http://zafernews.com/banner.jar
74.116.72.242,gdgtsource.com,https://web.archive.org/web/20110128095039/http://gdgtsource.com/,https://web.archive.org/web/20110128095039/https://secure.gdgtsource.com/cgi-bin/hd.cgi
74.116.72.247,ballbatstumpsandbails.com,https://web.archive.org/web/20110202032813/http://ballbatstumpsandbails.com/,https://web.archive.org/web/20130807082401*/http://ballbatstumpsandbails.com/bails.jar
74.116.72.249,round-trip-travel.com,https://web.archive.org/web/20100925201848/http://www.round-trip-travel.com/,https://web.archive.org/web/20100925201848/https://trip.round-trip-travel.com/cgi-bin/hotels.cgi
74.116.72.250,arabicnewsource.com,https://web.archive.org/web/20110210072414/http://arabicnewsource.com/,https://web.archive.org/web/20110210072414/https://ssl.arabicnewsource.com/cgi-bin/face.cgi
74.254.12.163,half-court.net,https://web.archive.org/web/20101229100006/http://half-court.net/,https://web.archive.org/web/20101229100220/http://half-court.net/basket.jar
74.254.12.165,dylandon.net,https://web.archive.org/web/20110106021052/http://dylandon.net/,https://web.archive.org/web/20110106023855/http://dylandon.net/dylandon.swf
74.254.12.166,afghanpoetry.net,https://web.archive.org/web/20101229104343/http://afghanpoetry.net/,https://web.archive.org/web/20111014012657*/http://afghanpoetry.net/afghanpoetry.swf
74.254.12.168,non-stop-news.net,https://web.archive.org/web/20101229190923/http://non-stop-news.net/,https://web.archive.org/web/20111024200944*/http://non-stop-news.net/world.jar
74.254.12.169,soldiersofsouthasia.com,https://web.archive.org/web/20110207203640/http://soldiersofsouthasia.com/,https://web.archive.org/web/20110207203807/http://soldiersofsouthasia.com/war.jar
74.254.12.176,pakcricketgrd.com,https://web.archive.org/web/20110203101410/http://pakcricketgrd.com/,https://web.archive.org/web/20110203101539/http://pakcricketgrd.com/places.jar
74.254.12.179,wineconnaisseur.net,https://web.archive.org/web/20101230072458/http://wineconnaisseur.net/,https://web.archive.org/web/20101230072512/http://wineconnaisseur.net/catavino.js
74.254.12.180,helpinghandssite.com,https://web.archive.org/web/20110208042144/http://helpinghandssite.com/,https://web.archive.org/web/20110208042200/http://helpinghandssite.com/globalization.jar
74.254.12.188,first-tee-golf.com,https://web.archive.org/web/20110203073359/http://first-tee-golf.com/,https://web.archive.org/web/20110203073503/http://first-tee-golf.com/golf.jar
74.254.12.189,fabu-foto.com,https://web.archive.org/web/20110203073359/http://first-tee-golf.com/,https://web.archive.org/web/20110202114501/https://secure.fabu-foto.com/cgi-bin/photos.cgi
74.254.12.190,viptravelabroad.com,https://web.archive.org/web/20110202122211/http://viptravelabroad.com/,https://web.archive.org/web/20110202122218/http://viptravelabroad.com/getaway.js
204.176.38.130,i-pressnews.com,https://web.archive.org/web/20110202090103/http://i-pressnews.com/,https://web.archive.org/web/20110202090114/http://i-pressnews.com/news.jar
204.176.38.132,turkishnewslinks.com,https://web.archive.org/web/20110129021514/http://turkishnewslinks.com/,https://web.archive.org/web/20110129021654/http://turkishnewslinks.com/feeds.jar
204.176.38.134,photographyarecord.com,https://web.archive.org/web/20110209013705/http://photographyarecord.com/,https://web.archive.org/web/20110209013705/https://ssl.photographyarecord.com/cgi-bin/front.cgi
204.176.38.135,breakingthewicket.com,https://web.archive.org/web/20110207221841/http://breakingthewicket.com/,https://web.archive.org/web/20110207221841/https://ssl.breakingthewicket.com/cgi-bin/cricket.cgi
204.176.38.136,politicalworldtoday.com,https://web.archive.org/web/20110208065647/http://politicalworldtoday.com/,https://web.archive.org/web/20110208065808/http://politicalworldtoday.com/meterbw.jar
204.176.38.137,hi-tech-today.com,https://web.archive.org/web/20110208145755/http://hi-tech-today.com/,https://web.archive.org/web/20110208145850/http://hi-tech-today.com/technews.jar
204.176.38.139,bigscreenbattles.com,https://web.archive.org/web/20110207105312/http://bigscreenbattles.com/,https://web.archive.org/web/20110207105537/http://bigscreenbattles.com/film.js
204.176.38.141,rakotafootball.com,https://web.archive.org/web/20110202083336/http://rakotafootball.com/,https://web.archive.org/web/20110202083428/http://rakotafootball.com/ball.jar
204.176.38.143,noticiassofisticadas.com,https://web.archive.org/web/20110128170459/http://noticiassofisticadas.com/,https://web.archive.org/web/20110128170459/https://secure.noticiassofisticadas.com/cgi-bin/login.cgi
204.176.38.142,senderosdemontana.com,https://web.archive.org/web/20110201100157/http://senderosdemontana.com/,https://web.archive.org/web/20110201100157js_/http://senderosdemontana.com/biking.js
204.176.38.144,techno-today.com,https://web.archive.org/web/20110201213703/http://techno-today.com/,https://web.archive.org/web/20110201213839/http://techno-today.com/bmeter.jar
204.176.38.146,dps-digitalphotosharing.com,https://web.archive.org/web/20110207233359/http://dps-digitalphotosharing.com/,https://web.archive.org/web/20110207233427/http://dps-digitalphotosharing.com/photography.jar
204.176.38.147,theputtingreen.com,https://web.archive.org/web/20110207104535/http://theputtingreen.com/,https://web.archive.org/web/20110207104855/http://theputtingreen.com/tee.jar
204.176.38.149,sportsnewstodayar.com,https://web.archive.org/web/20110210131921/http://sportsnewstodayar.com/2011,https://web.archive.org/web/20110210132114/http://sportsnewstodayar.com/news.jar
